
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 16866.3, 9.739, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, JMeans, 17358.6, 316.114, 16,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16982, 237.088, 16,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 17358.6, 13.244, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, JMeans, 19375.7, 328.86, 11,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 18619.3, 340.662, 11,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 19375.7, 8.439, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, JMeans, 16432, 326.855, 18,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 16356.2, 97.508, 18,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 16432, 11.07, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, JMeans, 14889.3, 457.435, 17,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 14453.7, 277.898, 17,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 14889.3, 8.11, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, JMeans, 15249.8, 258.143, 14,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 14770.3, 293.521, 14,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 15249.8, 11.03, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, JMeans, 18038.7, 608.48, 21,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 17356.2, 374.916, 21,
